Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"International tourism, number of departures",ST.INT.DPRT,Indonesia,IDN,9468000
"International tourism, number of departures",ST.INT.DPRT,"Iran, Islamic Rep.",IRN,7243000
"International tourism, number of departures",ST.INT.DPRT,Iraq,IRQ,..
"International tourism, number of departures",ST.INT.DPRT,Ireland,IRL,8643000
"International tourism, number of departures",ST.INT.DPRT,Isle of Man,IMN,..
"International tourism, number of departures",ST.INT.DPRT,Israel,ISR,8473000
"International tourism, number of departures",ST.INT.DPRT,Italy,ITA,33347100
"International tourism, number of departures",ST.INT.DPRT,Jamaica,JAM,..
"International tourism, number of departures",ST.INT.DPRT,Japan,JPN,18954000
"International tourism, number of departures",ST.INT.DPRT,Jordan,JOR,1501000
"International tourism, number of departures",ST.INT.DPRT,Kazakhstan,KAZ,..
"International tourism, number of departures",ST.INT.DPRT,Kenya,KEN,..
"International tourism, number of departures",ST.INT.DPRT,Kiribati,KIR,..
"International tourism, number of departures",ST.INT.DPRT,"Korea, Dem. People’s Rep.",PRK,..
"International tourism, number of departures",ST.INT.DPRT,"Korea, Rep.",KOR,28696000
"International tourism, number of departures",ST.INT.DPRT,Kosovo,XKX,..
"International tourism, number of departures",ST.INT.DPRT,Kuwait,KWT,..
"International tourism, number of departures",ST.INT.DPRT,Kyrgyz Republic,KGZ,6839000
"International tourism, number of departures",ST.INT.DPRT,Lao PDR,LAO,3207000
"International tourism, number of departures",ST.INT.DPRT,Latvia,LVA,1368000
"International tourism, number of departures",ST.INT.DPRT,Lebanon,LBN,..
"International tourism, number of departures",ST.INT.DPRT,Lesotho,LSO,..
"International tourism, number of departures",ST.INT.DPRT,Liberia,LBR,..
"International tourism, number of departures",ST.INT.DPRT,Libya,LBY,..
"International tourism, number of departures",ST.INT.DPRT,Liechtenstein,LIE,..
"International tourism, number of departures",ST.INT.DPRT,Lithuania,LTU,2244000
"International tourism, number of departures",ST.INT.DPRT,Luxembourg,LUX,1989000
"International tourism, number of departures",ST.INT.DPRT,"Macao SAR, China",MAC,1579000
"International tourism, number of departures",ST.INT.DPRT,Madagascar,MDG,..
"International tourism, number of departures",ST.INT.DPRT,Malawi,MWI,..
"International tourism, number of departures",ST.INT.DPRT,Malaysia,MYS,..
"International tourism, number of departures",ST.INT.DPRT,Maldives,MDV,..
"International tourism, number of departures",ST.INT.DPRT,Mali,MLI,..
"International tourism, number of departures",ST.INT.DPRT,Malta,MLT,667000
"International tourism, number of departures",ST.INT.DPRT,Marshall Islands,MHL,..
"International tourism, number of departures",ST.INT.DPRT,Mauritania,MRT,..
"International tourism, number of departures",ST.INT.DPRT,Mauritius,MUS,296000
"International tourism, number of departures",ST.INT.DPRT,Mexico,MEX,19748000
"International tourism, number of departures",ST.INT.DPRT,"Micronesia, Fed. Sts.",FSM,..
"International tourism, number of departures",ST.INT.DPRT,Moldova,MDA,264000
"International tourism, number of departures",ST.INT.DPRT,Monaco,MCO,..
"International tourism, number of departures",ST.INT.DPRT,Mongolia,MNG,..
"International tourism, number of departures",ST.INT.DPRT,Montenegro,MNE,..
"International tourism, number of departures",ST.INT.DPRT,Morocco,MAR,1923000
"International tourism, number of departures",ST.INT.DPRT,Mozambique,MOZ,..
"International tourism, number of departures",ST.INT.DPRT,Myanmar,MMR,..
"International tourism, number of departures",ST.INT.DPRT,Namibia,NAM,..
"International tourism, number of departures",ST.INT.DPRT,Nauru,NRU,..
"International tourism, number of departures",ST.INT.DPRT,Nepal,NPL,..
"International tourism, number of departures",ST.INT.DPRT,Netherlands,NLD,22115000
"International tourism, number of departures",ST.INT.DPRT,New Caledonia,NCL,139000
"International tourism, number of departures",ST.INT.DPRT,New Zealand,NZL,3038000
"International tourism, number of departures",ST.INT.DPRT,Nicaragua,NIC,974000
"International tourism, number of departures",ST.INT.DPRT,Niger,NER,..
"International tourism, number of departures",ST.INT.DPRT,Nigeria,NGA,..
"International tourism, number of departures",ST.INT.DPRT,North Macedonia,MKD,..
"International tourism, number of departures",ST.INT.DPRT,Northern Mariana Islands,MNP,..
"International tourism, number of departures",ST.INT.DPRT,Norway,NOR,8110000
"International tourism, number of departures",ST.INT.DPRT,Oman,OMN,3350000
"International tourism, number of departures",ST.INT.DPRT,Pakistan,PAK,..
"International tourism, number of departures",ST.INT.DPRT,Palau,PLW,..
"International tourism, number of departures",ST.INT.DPRT,Panama,PAN,681000
"International tourism, number of departures",ST.INT.DPRT,Papua New Guinea,PNG,..
"International tourism, number of departures",ST.INT.DPRT,Paraguay,PRY,1266000
"International tourism, number of departures",ST.INT.DPRT,Peru,PER,3078000
"International tourism, number of departures",ST.INT.DPRT,Philippines,PHL,..
"International tourism, number of departures",ST.INT.DPRT,Poland,POL,12800000
"International tourism, number of departures",ST.INT.DPRT,Portugal,PRT,2486000
"International tourism, number of departures",ST.INT.DPRT,Puerto Rico,PRI,..
"International tourism, number of departures",ST.INT.DPRT,Qatar,QAT,..
"International tourism, number of departures",ST.INT.DPRT,Romania,ROU,21039000
"International tourism, number of departures",ST.INT.DPRT,Russian Federation,RUS,41964000
"International tourism, number of departures",ST.INT.DPRT,Rwanda,RWA,..
"International tourism, number of departures",ST.INT.DPRT,Samoa,WSM,64000
"International tourism, number of departures",ST.INT.DPRT,San Marino,SMR,..
"International tourism, number of departures",ST.INT.DPRT,Sao Tome and Principe,STP,..
"International tourism, number of departures",ST.INT.DPRT,Saudi Arabia,SAU,21866000
"International tourism, number of departures",ST.INT.DPRT,Senegal,SEN,..
"International tourism, number of departures",ST.INT.DPRT,Serbia,SRB,..
"International tourism, number of departures",ST.INT.DPRT,Seychelles,SYC,72000
"International tourism, number of departures",ST.INT.DPRT,Sierra Leone,SLE,112000
"International tourism, number of departures",ST.INT.DPRT,Singapore,SGP,9889000
"International tourism, number of departures",ST.INT.DPRT,Sint Maarten (Dutch part),SXM,..
"International tourism, number of departures",ST.INT.DPRT,Slovak Republic,SVK,..
"International tourism, number of departures",ST.INT.DPRT,Slovenia,SVN,3188000
"International tourism, number of departures",ST.INT.DPRT,Solomon Islands,SLB,..
"International tourism, number of departures",ST.INT.DPRT,Somalia,SOM,..
"International tourism, number of departures",ST.INT.DPRT,South Africa,ZAF,..
"International tourism, number of departures",ST.INT.DPRT,South Sudan,SSD,..
"International tourism, number of departures",ST.INT.DPRT,Spain,ESP,19116000
"International tourism, number of departures",ST.INT.DPRT,Sri Lanka,LKA,1476000
"International tourism, number of departures",ST.INT.DPRT,St. Kitts and Nevis,KNA,..
"International tourism, number of departures",ST.INT.DPRT,St. Lucia,LCA,..
"International tourism, number of departures",ST.INT.DPRT,St. Martin (French part),MAF,..
"International tourism, number of departures",ST.INT.DPRT,St. Vincent and the Grenadines,VCT,..
"International tourism, number of departures",ST.INT.DPRT,Sudan,SDN,..
"International tourism, number of departures",ST.INT.DPRT,Suriname,SUR,..
"International tourism, number of departures",ST.INT.DPRT,Sweden,SWE,..
"International tourism, number of departures",ST.INT.DPRT,Switzerland,CHE,15285000
"International tourism, number of departures",ST.INT.DPRT,Syrian Arab Republic,SYR,..
"International tourism, number of departures",ST.INT.DPRT,Tajikistan,TJK,31000
"International tourism, number of departures",ST.INT.DPRT,Tanzania,TZA,..
"International tourism, number of departures",ST.INT.DPRT,Thailand,THA,9966000
"International tourism, number of departures",ST.INT.DPRT,Timor-Leste,TLS,..
"International tourism, number of departures",ST.INT.DPRT,Togo,TGO,..
"International tourism, number of departures",ST.INT.DPRT,Tonga,TON,..
"International tourism, number of departures",ST.INT.DPRT,Trinidad and Tobago,TTO,..
"International tourism, number of departures",ST.INT.DPRT,Tunisia,TUN,2515000
"International tourism, number of departures",ST.INT.DPRT,Turkey,TUR,8383000
"International tourism, number of departures",ST.INT.DPRT,Turkmenistan,TKM,..
"International tourism, number of departures",ST.INT.DPRT,Turks and Caicos Islands,TCA,..
"International tourism, number of departures",ST.INT.DPRT,Tuvalu,TUV,..
"International tourism, number of departures",ST.INT.DPRT,Uganda,UGA,..
"International tourism, number of departures",ST.INT.DPRT,Ukraine,UKR,27811000
"International tourism, number of departures",ST.INT.DPRT,United Arab Emirates,ARE,18904000
"International tourism, number of departures",ST.INT.DPRT,United Kingdom,GBR,70386000
"International tourism, number of departures",ST.INT.DPRT,United States,USA,92564000
"International tourism, number of departures",ST.INT.DPRT,Uruguay,URY,1947000
"International tourism, number of departures",ST.INT.DPRT,Uzbekistan,UZB,..
"International tourism, number of departures",ST.INT.DPRT,Vanuatu,VUT,29000
"International tourism, number of departures",ST.INT.DPRT,"Venezuela, RB",VEN,..
"International tourism, number of departures",ST.INT.DPRT,Vietnam,VNM,..
"International tourism, number of departures",ST.INT.DPRT,Virgin Islands (U.S.),VIR,..
"International tourism, number of departures",ST.INT.DPRT,West Bank and Gaza,PSE,..
